"Position","Name","Type","Signal","Label"
"1","VBAT","Power","",""
"2","PC13","I/O","SYS_WKUP2","BOARD_WKUP"
"3","PC14-OSC32_IN (PC14)","I/O","RCC_OSC32_IN",""
"4","PC15-OSC32_OUT (PC15)","I/O","RCC_OSC32_OUT",""
"5","PH0-OSC_IN (PH0)","Output","GPIO_Output","GPIO_MUXG0_EN"
"6","PH1-OSC_OUT (PH1)","Output","GPIO_Output","GPIO_MUXG1_EN"
"7","NRST","Reset","",""
"8","PC0","I/O","LPUART1_RX","LPUART1_SIM_RX"
"9","PC1","I/O","LPUART1_TX","LPUART1_SIM_TX"
"10","PC2","I/O","GPIO_EXTI2","GPIO_EXTI2_EXPCON"
"11","PC3","I/O","GPIO_EXTI3","GPIO_EXTI3_EXPCON"
"12","VSSA/VREF-","Power","",""
"13","VDDA/VREF+","Power","",""
"14","PA0","I/O","SYS_WKUP1","REED_WKUP"
"15","PA1","I/O","ADC1_IN6","ADC1_IN6_PEXP"
"16","PA2","I/O","RCC_LSCO",""
"17","PA3","I/O","",""
"18","VSS","Power","",""
"19","VDD","Power","",""
"20","PA4","I/O","ADC1_IN9","ADC1_IN9_BAT"
"21","PA5","I/O","",""
"22","PA6","I/O","TIM3_CH1","TIM3_CH1_CAPT_PEXP"
"23","PA7","I/O","",""
"24","PC4","Output","GPIO_Output","GPIO_SW_BRIDGE_EN"
"25","PB0","Output","GPIO_Output","GPIO_SW_VOLTAGE_EN"
"26","PB1","I/O","LPUART1_RTS","LPUART1_SIM_RTS"
"27","PB2","I/O","",""
"28","PB10","I/O","I2C2_SCL",""
"29","PB11","I/O","I2C2_SDA",""
"30","VDD12","Power","",""
"31","VSS","Power","",""
"32","VDD","Power","",""
"33","PB12","Output","GPIO_Output","GPIO_SW_USART1_EN"
"34","PB13","I/O","LPUART1_CTS","LPUART1_SIM_CTS"
"35","PB14","Output","GPIO_Output","GPIO_SMPS_VDD12_EN"
"36","PB15","Output","GPIO_Output","GPIO_SW_VDD12_EN"
"37","PC6","I/O","",""
"38","PC7","I/O","GPIO_EXTI7","EXTI7_I2C1_PEXPB"
"39","PC8","I/O","GPIO_EXTI8","EXTI8_I2C1_PEXPA"
"40","PC9","I/O","GPIO_EXTI9","EXTI9_I2C1_ADC_DRDY"
"41","PA8","Output","GPIO_Output","GPIO_SW_I2C1_EN"
"42","PA9","I/O","I2C1_SCL",""
"43","PA10","I/O","I2C1_SDA",""
"44","PA11","I/O","USART1_CTS","USART1_ESP_CTS"
"45","PA12","I/O","USART1_RTS","USART1_ESP_RTS"
"46","PA13 (JTMS/SWDIO)","I/O","SYS_JTMS-SWDIO",""
"47","VSS","Power","",""
"48","VDDUSB","Power","",""
"49","PA14 (JTCK/SWCLK)","I/O","SYS_JTCK-SWCLK",""
"50","PA15 (JTDI)","I/O","",""
"51","PC10","I/O","SPI3_SCK",""
"52","PC11","I/O","SPI3_MISO",""
"53","PC12","I/O","SPI3_MOSI",""
"54","PB3 (JTDO/TRACESWO)","I/O","",""
"55","PB4 (NJTRST)","I/O","",""
"56","PB5","Output","GPIO_Output","GPIO_SW_SPI3_EN"
"57","PB6","I/O","USART1_TX","USART1_ESP_TX"
"58","PB7","I/O","USART1_RX","USART1_ESP_RX"
"59","PH3-BOOT0 (BOOT0)","I/O","",""
"60","PB8","I/O","TIM16_CH1","TIM16_CH1_BUZZER"
"61","PB9","I/O","",""
"62","VDD12","Power","",""
"63","VSS","Power","",""
"64","VDD","Power","",""
